german_term,english_translation,alternative_translations,priority_level,context_category,notes
BGB,Civil Code,"[""German Civil Code"",""Bürgerliches Gesetzbuch""]",1,general,Bürgerliches Gesetzbuch
StGB,Criminal Code,"[""German Criminal Code"",""Strafgesetzbuch""]",1,general,Strafgesetzbuch
GG,Basic Law,"[""German Constitution"",""Grundgesetz""]",1,public,Grundgesetz
ZPO,Code of Civil Procedure,"[""Zivilprozessordnung""]",1,general,Zivilprozessordnung
StPO,Code of Criminal Procedure,"[""Strafprozessordnung""]",1,criminal,Strafprozessordnung
VwVfG,Administrative Procedure Act,"[""Verwaltungsverfahrensgesetz""]",2,public,Verwaltungsverfahrensgesetz
HGB,Commercial Code,"[""Handelsgesetzbuch""]",1,general,Handelsgesetzbuch
GGG,Civil Service Act,"[""Beamtenrechtsrahmengesetz""]",3,public,
FamFG,Family Procedure Act,"[""Gesetz über das Verfahren in Familiensachen""]",2,family,Familienverfahrensgesetz
SGB,Social Code,"[""Sozialgesetzbuch""]",1,social,Sozialgesetzbuch
AO,Fiscal Code,"[""Abgabenordnung""]",2,finance,Abgabenordnung
UrhG,Copyright Act,"[""Urheberrechtsgesetz""]",2,tech,Urheberrechtsgesetz
PatG,Patent Act,"[""Patentgesetz""]",3,tech,Patentgesetz
MarkenG,Trademark Act,"[""Markengesetz""]",3,tech,Markengesetz
GmbHG,Limited Liability Companies Act,"[""GmbH-Gesetz""]",2,finance,Gesetz betreffend die Gesellschaften mit beschränkter Haftung
AktG,Stock Corporation Act,"[""Aktiengesetz""]",2,finance,Aktiengesetz
BGB,Kündigung,termination,"[""notice"",""dismissal"",""cancellation""]",1,labor,
Kündigungsschutz,protection against dismissal,"[""termination protection""]",2,labor,
Miete,rent,"[""rental"",""lease"",""tenancy""]",1,housing,
Mietvertrag,lease agreement,"[""rental contract"",""tenancy agreement""]",1,housing,
Vermieter,landlord,"[""lessor""]",1,housing,
Mieter,tenant,"[""lessee"",""renter""]",1,housing,
Kaution,security deposit,"[""deposit"",""bond""]",1,housing,
Eigenbedarf,own use,"[""personal use"",""landlord's own need""]",2,housing,Common eviction reason
Räumung,eviction,"[""removal"",""clearing""]",2,housing,
Räumungsklage,eviction lawsuit,"[""action for possession""]",2,housing,
Nebenkosten,utilities,"[""additional costs"",""service charges""]",2,housing,
Betriebskosten,operating costs,"[""utilities"",""service charges""]",2,housing,
Wohnung,apartment,"[""flat"",""dwelling""]",1,housing,
Haus,house,"[""building""]",1,housing,
Grundstück,plot of land,"[""property"",""real estate""]",2,housing,
Grundbuch,land register,"[""property register""]",2,housing,
Immobilie,real estate,"[""property"",""immovable property""]",2,housing,
Makler,real estate agent,"[""broker""]",2,housing,
Arbeit,work,"[""labor"",""employment""]",1,labor,
Arbeitgeber,employer,"[""boss""]",1,labor,
Arbeitnehmer,employee,"[""worker""]",1,labor,
Arbeitsvertrag,employment contract,"[""employment agreement""]",1,labor,
Gehalt,salary,"[""wages"",""pay""]",1,labor,
Lohn,wages,"[""pay"",""earnings""]",1,labor,
Überstunden,overtime,"[""extra hours""]",2,labor,
Urlaub,vacation,"[""leave"",""holiday""]",1,labor,
Krankheit,illness,"[""sickness""]",2,labor,
Arbeitsunfähigkeit,incapacity for work,"[""sick leave""]",2,labor,
Attest,medical certificate,"[""doctor's note""]",2,labor,
Abmahnung,warning,"[""reprimand""]",2,labor,Pre-dismissal warning
Betriebsrat,works council,"[""employee council""]",2,labor,
Mitbestimmung,co-determination,"[""participation""]",3,labor,
Streik,strike,"[""industrial action""]",2,labor,
Tarifvertrag,collective bargaining agreement,"[""union contract""]",2,labor,
Mindestlohn,minimum wage,"[""minimum pay""]",2,labor,
Befristung,fixed-term,"[""temporary""]",2,labor,
Teilzeit,part-time,"[""part-time work""]",2,labor,
Homeoffice,home office,"[""remote work"",""telecommuting""]",2,labor,
Elternzeit,parental leave,"[""parental time""]",2,family,
Mutterschutz,maternity protection,"[""maternity leave""]",2,family,
Schwangerschaft,pregnancy,"[""expectancy""]",2,family,
Vertrag,contract,"[""agreement""]",1,general,
Vereinbarung,agreement,"[""arrangement""]",2,general,
Leistung,performance,"[""service"",""benefit""]",2,general,
Pflicht,duty,"[""obligation""]",2,general,
Anspruch,claim,"[""entitlement"",""right""]",2,general,
Haftung,liability,"[""responsibility""]",2,general,
Schadensersatz,damages,"[""compensation""]",2,general,
Schaden,damage,"[""loss"",""harm""]",2,general,
Verzug,default,"[""delay""]",2,general,
Mahnung,reminder,"[""dunning"",""notice""]",2,general,
Gericht,court,"[""tribunal""]",1,general,
Richter,judge,"[""magistrate""]",2,general,
Anwalt,lawyer,"[""attorney""]",1,general,
Rechtsanwalt,attorney at law,"[""lawyer""]",1,general,
Notar,notary,"[""notary public""]",2,general,
Klage,lawsuit,"[""action"",""complaint""]",2,general,
Kläger,plaintiff,"[""claimant""]",2,general,
Beklagter,defendant,"[""accused""]",2,general,
Urteil,judgment,"[""verdict"",""ruling""]",2,general,
Beschluss,order,"[""decision"",""resolution""]",2,general,
Entscheidung,decision,"[""ruling""]",2,general,
Verfahren,procedure,"[""proceedings""]",2,general,
Prozess,trial,"[""lawsuit"",""case""]",2,general,
Instanz,court instance,"[""level of jurisdiction""]",3,general,
Revision,revision,"[""appeal on points of law""]",3,general,
Berufung,appeal,"[""second instance""]",3,general,
Einspruch,objection,"[""protest""]",2,general,
Beschwerde,complaint,"[""appeal""]",2,general,
Frist,deadline,"[""time limit"",""period""]",2,general,
Termin,appointment,"[""date"",""hearing""]",2,general,
Zustellung,service,"[""delivery""]",3,general,Legal document delivery
Beweis,evidence,"[""proof""]",2,general,
Zeuge,witness,"[""testifier""]",2,general,
Gutachten,expert opinion,"[""report""]",2,general,
Strafe,penalty,"[""punishment""]",1,criminal,
Geldstrafe,fine,"[""monetary penalty""]",2,criminal,
Freiheitsstrafe,prison sentence,"[""imprisonment""]",2,criminal,
Bewährung,probation,"[""suspended sentence""]",2,criminal,
Haft,detention,"[""custody""]",2,criminal,
Untersuchungshaft,pre-trial detention,"[""remand""]",3,criminal,
Anklage,indictment,"[""charges""]",2,criminal,
